a_type_1,a_type_2,a_hp,a_attack,a_defense,a_sp_atk,a_sp_def,a_speed,a_generation,a_legendary,b_type_1,b_type_2,b_hp,b_attack,b_defense,b_sp_atk,b_sp_def,b_speed,b_generation,b_legendary,did_a_win,pair_key
Psychic,,65,40,50,125,60,30,5,0,Fire,Flying,90,100,90,125,85,90,1,1,0,Duosion_vs_Moltres
Bug,,65,125,100,55,70,85,1,0,Ground,Ghost,89,124,80,55,80,55,5,0,0,Golurk_vs_Pinsir
Water,,55,65,95,95,45,85,1,0,Ground,Ghost,59,74,50,35,50,35,5,0,0,Golett_vs_Seadra
Dragon,,45,75,60,40,30,50,3,0,Electric,Normal,44,38,33,61,43,70,6,0,0,Bagon_vs_Helioptile
Bug,Fighting,80,185,115,40,105,75,2,0,Normal,,50,45,45,35,35,50,3,0,1,Mega Heracross_vs_Skitty
Normal,,90,55,75,60,75,30,1,0,Bug,Poison,65,150,40,15,80,145,1,0,0,Lickitung_vs_Mega Beedrill
Dragon,,77,120,90,60,90,48,5,0,Water,Dark,72,95,67,103,71,122,6,0,0,Druddigon_vs_Greninja
Normal,,150,160,100,95,65,100,3,0,Water,,50,53,48,53,48,64,5,0,1,Panpour_vs_Slaking
Grass,Poison,45,49,49,65,65,45,1,0,Grass,Flying,99,68,83,72,87,51,3,0,0,Bulbasaur_vs_Tropius
Ghost,,60,60,60,85,85,85,2,0,Bug,Poison,30,45,59,30,39,57,5,0,1,Misdreavus_vs_Venipede
Poison,Flying,85,90,80,70,80,130,2,0,Electric,,75,123,67,95,85,95,4,0,1,Crobat_vs_Electivire
Fairy,,78,52,60,63,65,23,6,0,Rock,Water,42,52,67,39,56,50,6,0,0,Binacle_vs_Spritzee
Poison,Ground,90,92,87,75,85,76,1,0,Ghost,Grass,55,85,122,58,75,99,6,0,0,Gourgeist Small Size_vs_Nidoqueen
Electric,Flying,50,65,107,105,107,86,4,0,Psychic,,116,55,85,107,95,29,5,0,1,Fan Rotom_vs_Musharna
Ghost,,58,50,145,95,105,30,5,0,Fighting,,72,60,30,20,30,25,3,0,1,Cofagrigus_vs_Makuhita
Grass,,40,45,35,65,55,70,3,0,Psychic,,45,30,50,55,65,45,5,0,1,Gothita_vs_Treecko
Psychic,,75,75,130,75,130,95,4,1,Dark,Ghost,50,85,125,85,115,20,3,0,0,Mega Sableye_vs_Uxie
Water,,85,105,55,85,50,115,4,0,Bug,Grass,45,53,70,40,60,42,5,0,1,Floatzel_vs_Sewaddle
Normal,Flying,52,65,55,58,62,60,1,0,Ghost,Grass,75,95,122,58,75,69,6,0,0,Farfetchd_vs_Gourgeist Large Size
Psychic,,60,25,35,70,80,60,3,0,Electric,,55,40,40,65,45,35,2,0,1,Mareep_vs_Spoink
Ghost,Flying,90,50,34,60,44,70,4,0,Ground,Psychic,60,70,105,70,120,75,3,0,0,Claydol_vs_Drifloon
Dragon,,76,147,90,60,70,97,5,0,Normal,,55,81,60,50,70,97,1,0,0,Haxorus_vs_Raticate
Fire,,45,60,40,70,50,45,3,0,Ice,Psychic,65,50,35,115,95,95,1,0,0,Jynx_vs_Torchic
Fire,,59,59,58,90,70,73,6,0,Ghost,,40,70,130,60,130,25,3,0,1,Braixen_vs_Dusclops
Ground,,108,112,118,68,72,47,4,0,Normal,,60,85,69,60,69,77,5,0,0,Hippowdon_vs_Watchog
Normal,Fighting,100,128,90,77,77,128,5,0,Normal,Flying,40,45,40,35,35,56,1,0,1,Meloetta Pirouette Forme_vs_Pidgey
Dragon,Psychic,80,80,90,110,130,110,3,1,Electric,Flying,55,75,60,75,60,103,5,0,1,Emolga_vs_Latias
Grass,Ice,90,92,75,92,85,60,4,0,Psychic,,120,70,120,75,130,85,4,0,0,Abomasnow_vs_Cresselia
Fire,Water,80,110,120,130,90,70,6,1,Fighting,Psychic,30,40,55,40,55,60,3,0,1,Meditite_vs_Volcanion
Water,,45,67,60,35,50,63,1,0,Electric,,60,85,49,60,49,60,4,0,1,Goldeen_vs_Luxio
Psychic,Dark,80,160,60,170,130,80,6,1,Fighting,,85,105,85,40,50,40,5,0,1,Gurdurr_vs_Hoopa Unbound
Normal,,255,10,10,75,135,55,2,0,Fire,Fighting,80,160,80,130,80,100,3,0,0,Blissey_vs_Mega Blaziken
Water,Ice,50,95,180,85,45,70,1,0,Psychic,,65,40,50,125,60,30,5,0,1,Cloyster_vs_Duosion
Rock,Fairy,50,160,110,160,110,110,6,1,Poison,Water,50,60,60,60,60,30,6,0,1,Mega Diancie_vs_Skrelp
Rock,Flying,55,112,45,74,45,70,5,0,Electric,Flying,79,105,70,145,80,101,5,1,0,Archen_vs_Thundurus Therian Forme
Normal,,160,110,65,65,110,30,1,0,Ghost,Flying,150,80,44,90,54,80,4,0,0,Drifblim_vs_Snorlax
Ground,Dark,95,117,80,65,70,92,5,0,Electric,,20,40,15,35,35,60,2,0,1,Krookodile_vs_Pichu
Dragon,,68,75,53,83,113,60,6,0,Bug,Poison,60,100,89,55,69,112,5,0,0,Scolipede_vs_Sliggoo
Bug,Flying,80,52,50,90,50,89,6,0,Psychic,Flying,65,75,70,95,70,95,2,0,0,Vivillon_vs_Xatu
Poison,Flying,75,80,70,65,75,90,1,0,Dark,,40,65,40,80,40,65,5,0,1,Golbat_vs_Zorua
Fighting,,45,85,50,55,50,65,5,0,Dragon,Flying,75,70,90,70,105,80,3,0,0,Altaria_vs_Mienfoo
Grass,,56,61,65,48,45,38,6,0,Electric,,70,55,55,80,60,45,2,0,0,Chespin_vs_Flaaffy
Ghost,,38,30,85,55,65,30,5,0,Grass,,70,60,75,110,75,90,5,0,0,Lilligant_vs_Yamask
Normal,Flying,35,85,45,35,35,75,1,0,Normal,Ground,85,56,77,50,77,78,6,0,1,Diggersby_vs_Doduo
Water,Rock,54,78,103,53,45,22,5,0,Bug,,65,125,100,55,70,85,1,0,0,Pinsir_vs_Tirtouga
Water,,30,45,55,70,55,85,1,0,Water,Rock,100,90,130,45,65,55,3,0,1,Relicanth_vs_Staryu
Bug,,50,35,55,25,25,15,3,0,Normal,,71,82,64,64,59,112,4,0,0,Cascoon_vs_Purugly
Fairy,,35,20,65,40,65,20,2,0,Dark,,70,90,90,135,90,125,4,1,0,Darkrai_vs_Togepi
Normal,Fairy,103,60,126,80,126,50,5,0,Water,Dragon,75,95,95,95,95,85,2,0,0,Kingdra_vs_Mega Audino
Fighting,Flying,78,92,75,74,63,118,6,0,Ghost,Grass,55,85,122,58,75,99,6,0,0,Gourgeist Small Size_vs_Hawlucha
Normal,Flying,100,50,50,76,96,70,2,0,Electric,Fire,50,65,107,105,107,86,4,0,0,Heat Rotom_vs_Noctowl
Grass,,70,60,70,87,78,85,4,0,Ghost,Grass,49,66,70,44,55,51,6,0,1,Cherrim_vs_Pumpkaboo Average Size
Steel,Psychic,100,100,100,100,100,100,3,1,Electric,,80,120,79,95,79,70,4,0,1,Jirachi_vs_Luxray
Steel,Fairy,50,85,85,55,55,50,3,0,Poison,,35,60,44,40,54,55,1,0,0,Mawile_vs_NidoranF
Grass,,100,100,100,100,100,100,4,1,Fighting,,65,125,60,95,60,105,5,0,0,Mienshao_vs_Shaymin Land Forme
Normal,,60,90,70,60,120,40,3,0,Water,,45,67,60,35,50,63,1,0,0,Goldeen_vs_Kecleon
Water,Psychic,90,65,65,40,40,15,1,0,Normal,,55,70,55,40,55,85,2,0,0,Aipom_vs_Slowpoke
Water,Psychic,90,65,65,40,40,15,1,0,Water,Fighting,90,95,95,70,90,70,1,0,1,Poliwrath_vs_Slowpoke
Ground,,50,50,95,40,50,35,1,0,Dark,Flying,126,131,95,131,98,99,6,1,0,Cubone_vs_Yveltal
Dragon,Flying,105,150,90,150,90,95,3,1,Fire,Flying,78,104,78,159,115,100,1,0,0,Mega Charizard Y_vs_Rayquaza
Water,Dark,95,155,109,70,130,81,1,0,Water,,65,80,80,59,63,58,2,0,1,Croconaw_vs_Mega Gyarados
Poison,Bug,40,50,90,30,55,65,4,0,Normal,,59,45,40,35,40,31,4,0,1,Bidoof_vs_Skorupi
Water,Psychic,60,75,85,100,85,115,1,0,Electric,,40,45,40,65,40,65,3,0,1,Electrike_vs_Starmie
Fighting,,50,105,79,35,110,76,1,0,Rock,Grass,86,81,97,81,107,43,3,0,1,Cradily_vs_Hitmonchan
Rock,,80,100,200,50,100,50,3,1,Ground,Psychic,40,40,55,40,70,55,3,0,0,Baltoy_vs_Regirock
Ghost,Grass,85,110,76,65,82,56,6,0,Water,Ground,95,85,85,65,65,35,2,0,1,Quagsire_vs_Trevenant
Dragon,,90,100,70,110,150,80,6,0,Ground,,50,50,95,40,50,35,1,0,1,Cubone_vs_Goodra
Bug,Fighting,80,125,75,40,95,85,2,0,Dark,Dragon,92,105,90,125,90,98,5,0,0,Heracross_vs_Hydreigon
Electric,,70,75,60,105,60,105,3,0,Psychic,,65,40,50,125,60,30,5,0,1,Duosion_vs_Manectric
Rock,Dark,100,164,150,95,120,71,2,0,Steel,,70,140,230,60,80,50,3,0,1,Mega Aggron_vs_Mega Tyranitar
Dark,,60,105,60,120,60,105,5,0,Grass,Poison,60,70,65,125,105,90,4,0,1,Roserade_vs_Zoroark
Water,,55,65,35,60,30,85,4,0,Fairy,,126,131,95,131,98,99,6,1,0,Buizel_vs_Xerneas
Grass,Flying,55,45,50,45,65,80,2,0,Normal,Flying,83,80,80,135,80,121,1,0,0,Mega Pidgeot_vs_Skiploom
Rock,,30,45,135,45,90,30,3,0,Ground,Flying,65,75,105,35,65,85,2,0,0,Gligar_vs_Nosepass
Dragon,,61,84,65,70,70,70,1,0,Grass,Fairy,60,67,85,77,75,116,5,0,0,Dragonair_vs_Whimsicott
Electric,Dragon,90,95,105,165,110,45,2,0,Ghost,,58,50,145,95,105,30,5,0,1,Cofagrigus_vs_Mega Ampharos
Fighting,,35,35,35,35,35,35,2,0,Bug,Flying,65,155,120,65,90,105,1,0,0,Mega Pinsir_vs_Tyrogue
Psychic,Flying,106,90,130,90,154,110,2,1,Dragon,Ground,58,70,45,40,45,42,4,0,1,Gible_vs_Lugia
Water,Fairy,70,20,50,20,50,40,2,0,Poison,,50,50,62,40,62,65,5,0,0,Marill_vs_Trubbish
Fire,Fighting,80,160,80,130,80,100,3,0,Bug,Flying,60,45,50,90,80,70,1,0,1,Butterfree_vs_Mega Blaziken
Psychic,Flying,40,50,45,70,45,70,2,0,Bug,Steel,70,130,100,55,80,65,2,0,1,Natu_vs_Scizor
Normal,Flying,52,65,55,58,62,60,1,0,Poison,,70,62,67,55,55,56,1,0,1,Farfetchd_vs_Nidorina
Fire,Rock,50,50,120,80,80,30,2,0,Normal,,150,160,100,95,65,100,3,0,0,Magcargo_vs_Slaking
Bug,Flying,65,65,45,75,45,95,2,0,Poison,Bug,40,50,90,30,55,65,4,0,1,Skorupi_vs_Yanma
Ground,,35,80,50,50,70,120,1,0,Psychic,Fairy,20,25,45,70,90,60,4,0,1,Dugtrio_vs_Mime Jr
Dragon,Ground,68,90,65,50,55,82,4,0,Normal,,85,80,70,135,75,90,4,0,0,Gabite_vs_PorygonZ
Dragon,,66,117,70,40,50,67,5,0,Normal,,71,82,64,64,59,112,4,0,0,Fraxure_vs_Purugly
Fire,,73,76,75,81,100,100,1,0,Bug,Fighting,80,185,115,40,105,75,2,0,1,Mega Heracross_vs_Ninetales
Fighting,,72,60,30,20,30,25,3,0,Water,,54,63,52,83,56,97,6,0,0,Frogadier_vs_Makuhita
Fire,,65,130,60,95,110,65,1,0,Ground,Dark,50,72,35,35,35,65,5,0,0,Flareon_vs_Sandile
Psychic,Fairy,28,25,25,45,35,40,3,0,Normal,Flying,83,80,80,135,80,121,1,0,0,Mega Pidgeot_vs_Ralts
Poison,,55,47,52,40,40,41,1,0,Grass,Ice,90,92,75,92,85,60,4,0,0,Abomasnow_vs_Nidoran
Bug,Grass,45,53,70,40,60,42,5,0,Grass,Ice,90,92,75,92,85,60,4,0,0,Abomasnow_vs_Sewaddle
Bug,Poison,70,65,60,90,75,90,1,0,Fighting,Steel,70,110,70,115,70,90,4,0,0,Lucario_vs_Venomoth
Grass,Dark,90,100,60,90,60,80,3,0,Fairy,,60,80,50,40,40,30,2,0,1,Shiftry_vs_Snubbull
Ghost,Flying,90,50,34,60,44,70,4,0,Water,,50,53,62,58,63,44,6,0,1,Clauncher_vs_Drifloon
Water,,55,55,45,63,45,45,5,0,Normal,Flying,60,110,70,60,60,100,1,0,0,Dodrio_vs_Oshawott
Dragon,,45,50,35,55,75,40,6,0,Water,,54,63,52,83,56,97,6,0,0,Frogadier_vs_Goomy
Grass,Poison,80,82,83,100,100,80,1,0,Normal,Flying,100,50,50,76,96,70,2,0,1,Noctowl_vs_Venusaur
Water,,95,100,85,108,70,70,5,0,Fairy,,35,20,65,40,65,20,2,0,1,Samurott_vs_Togepi
Water,,43,80,65,50,35,35,3,0,Fighting,Steel,70,110,70,115,70,90,4,0,0,Corphish_vs_Lucario
Bug,Flying,60,70,50,100,50,65,3,0,Rock,,85,135,130,60,80,25,5,0,0,Beautifly_vs_Gigalith
Normal,Flying,40,55,30,30,30,60,4,0,Grass,Fighting,60,130,80,60,60,70,3,0,0,Breloom_vs_Starly
Bug,,50,35,55,25,25,15,3,0,Grass,,80,82,100,83,100,80,2,0,0,Cascoon_vs_Meganium
Water,,80,92,65,65,80,68,1,0,Fairy,,126,131,95,131,98,99,6,1,0,Seaking_vs_Xerneas
Dark,Fire,75,90,90,140,90,115,2,0,Bug,,45,30,35,20,20,45,1,0,1,Caterpie_vs_Mega Houndoom
Psychic,Fairy,38,35,35,65,55,50,3,0,Ghost,,64,165,75,93,83,75,3,0,0,Kirlia_vs_Mega Banette
Grass,Poison,40,30,35,50,70,55,4,0,Bug,Poison,40,35,30,20,20,50,1,0,1,Budew_vs_Weedle
Ground,Flying,75,95,125,45,75,95,4,0,Normal,Flying,45,50,43,40,38,62,6,0,1,Fletchling_vs_Gliscor
Grass,,74,100,72,90,72,46,4,0,Psychic,Flying,72,58,80,103,80,97,5,0,0,Carnivine_vs_Sigilyph
Bug,Fighting,80,185,115,40,105,75,2,0,Rock,,70,100,115,30,65,30,2,0,1,Mega Heracross_vs_Sudowoodo
Fire,,75,95,67,125,95,83,4,0,Psychic,,50,70,160,70,160,90,3,1,0,Deoxys Defense Forme_vs_Magmortar
Psychic,Flying,65,75,70,95,70,95,2,0,Ground,Dragon,80,100,80,80,80,100,3,0,0,Flygon_vs_Xatu
Fairy,,82,80,86,85,75,72,6,0,Ground,Psychic,60,70,105,70,120,75,3,0,0,Claydol_vs_Slurpuff
Electric,,45,60,32,50,32,76,5,0,Water,,75,75,60,83,60,60,5,0,1,Blitzle_vs_Dewott
Electric,,75,123,67,95,85,95,4,0,Ground,,10,55,25,35,45,95,1,0,0,Diglett_vs_Electivire
Fire,Flying,78,81,71,74,69,126,6,0,Poison,Flying,75,80,70,65,75,90,1,0,1,Golbat_vs_Talonflame
Rock,Ground,40,80,100,30,30,20,1,0,Fire,Fighting,80,120,70,110,70,80,3,0,0,Blaziken_vs_Geodude
Normal,Flying,40,55,30,30,30,85,3,0,Fighting,,50,105,79,35,110,76,1,0,1,Hitmonchan_vs_Taillow
Grass,Fighting,60,130,80,60,60,70,3,0,Grass,Poison,80,82,83,100,100,80,1,0,0,Breloom_vs_Venusaur
Psychic,,190,33,58,33,58,33,2,0,Water,Ground,95,85,85,65,65,35,2,0,0,Quagsire_vs_Wobbuffet
Dark,Ghost,50,85,125,85,115,20,3,0,Fire,,78,84,78,109,85,100,2,0,0,Mega Sableye_vs_Typhlosion
Water,,35,64,85,74,55,32,3,0,Normal,,60,85,69,60,69,77,5,0,0,Clamperl_vs_Watchog
Steel,Ghost,45,80,100,35,37,28,6,0,Fire,,45,60,40,70,50,45,3,0,0,Honedge_vs_Torchic
Water,,76,48,48,57,62,34,4,0,Dragon,Flying,105,180,100,180,100,115,3,1,0,Mega Rayquaza_vs_Shellos
Normal,,38,36,38,32,36,57,6,0,Dragon,Psychic,80,130,100,160,120,110,3,1,0,Bunnelby_vs_Mega Latios
Fire,,50,85,55,65,65,90,1,0,Psychic,Dark,80,160,60,170,130,80,6,1,1,Hoopa Unbound_vs_Ponyta
Grass,,45,35,45,62,53,35,4,0,Fairy,,60,80,50,40,40,30,2,0,1,Cherubi_vs_Snubbull
Grass,Flying,100,103,75,120,75,127,4,1,Grass,Fairy,40,27,60,37,50,66,5,0,1,Cottonee_vs_Shaymin Sky Forme
Fighting,Dark,95,124,78,69,71,58,6,0,Water,,30,105,90,25,25,50,1,0,1,Krabby_vs_Pangoro
Grass,,45,49,65,49,65,45,2,0,Psychic,,40,35,30,120,70,105,1,0,0,Chikorita_vs_Kadabra
Bug,Grass,35,70,55,45,55,25,1,0,Normal,,84,71,43,71,43,48,3,0,0,Loudred_vs_Paras
Poison,,55,47,52,40,40,41,1,0,Ghost,Grass,75,95,122,58,75,69,6,0,0,Gourgeist Large Size_vs_Nidoran
Water,Fighting,90,95,95,70,90,70,1,0,Water,Ground,70,85,70,60,70,50,3,0,1,Marshtomp_vs_Poliwrath
Ghost,,60,60,60,85,85,85,2,0,Normal,,70,70,70,70,70,70,3,0,0,Castform_vs_Misdreavus
Water,Dark,95,155,109,70,130,81,1,0,Dark,Psychic,86,92,88,68,75,73,6,0,1,Malamar_vs_Mega Gyarados
Dragon,,45,75,60,40,30,50,3,0,Dark,Fire,45,60,30,80,50,65,2,0,0,Bagon_vs_Houndour
Psychic,,120,70,120,75,130,85,4,0,Poison,Dark,63,63,47,41,41,74,4,0,1,Cresselia_vs_Stunky
Water,Flying,40,30,30,55,30,85,3,0,Grass,,56,61,65,48,45,38,6,0,0,Chespin_vs_Wingull
Water,,50,53,48,53,48,64,5,0,Poison,,105,105,75,65,100,50,1,0,1,Muk_vs_Panpour
Water,Ground,50,48,43,46,41,60,3,0,Electric,Ice,50,65,107,105,107,86,4,0,0,Barboach_vs_Frost Rotom
Psychic,,60,25,35,70,80,60,3,0,Rock,Steel,30,42,118,42,88,30,4,0,1,Shieldon_vs_Spoink
Normal,,45,60,45,25,45,55,5,0,Fighting,,45,85,50,55,50,65,5,0,0,Lillipup_vs_Mienfoo
Dark,,65,130,60,75,60,75,3,0,Bug,Water,40,30,32,50,52,65,3,0,1,Absol_vs_Surskit
Water,Flying,45,20,50,60,120,50,4,0,Normal,,85,76,64,45,55,90,2,0,0,Furret_vs_Mantyke
Water,,50,65,64,44,48,43,2,0,Dark,Steel,45,85,70,40,40,60,5,0,0,Pawniard_vs_Totodile
Steel,,80,75,150,75,150,50,3,1,Grass,,50,85,40,85,40,35,3,0,1,Cacnea_vs_Registeel
Psychic,,50,70,160,70,160,90,3,1,Dark,Fighting,65,90,115,45,115,58,5,0,0,Deoxys Defense Forme_vs_Scrafty
Bug,,45,22,60,27,30,29,6,0,Poison,,46,57,40,40,40,50,1,0,0,Nidoran_vs_Spewpa
Water,,76,48,48,57,62,34,4,0,Rock,Water,60,115,105,65,70,80,1,0,0,Kabutops_vs_Shellos
Poison,,55,47,52,40,40,41,1,0,Rock,Dark,100,134,110,95,100,61,2,0,0,Nidoran_vs_Tyranitar
Bug,Flying,70,94,50,94,50,66,4,0,Water,,100,75,115,90,115,85,2,1,0,Mothim_vs_Suicune
Fire,,50,53,48,53,48,64,5,0,Normal,,80,80,80,55,55,90,3,0,0,Pansear_vs_Vigoroth
Normal,,90,55,75,60,75,30,1,0,Ground,Dark,50,72,35,35,35,65,5,0,0,Lickitung_vs_Sandile
Water,,30,40,70,70,25,60,1,0,Bug,,77,85,51,55,51,65,4,0,0,Horsea_vs_Kricketune
Water,,75,98,63,98,63,101,5,0,Grass,Fighting,60,130,80,60,60,70,3,0,1,Breloom_vs_Simipour
Water,,35,65,35,65,35,65,2,0,Grass,,75,89,85,55,65,36,4,0,0,Grotle_vs_Remoraid
Water,Flying,40,30,30,55,30,85,3,0,Rock,Water,42,52,67,39,56,50,6,0,1,Binacle_vs_Wingull
Rock,,85,135,130,60,80,25,5,0,Fighting,,75,80,55,25,35,35,5,0,0,Gigalith_vs_Timburr
Rock,Ground,55,95,115,45,45,35,1,0,Ghost,Grass,59,66,70,44,55,41,6,0,0,Graveler_vs_Pumpkaboo Super Size
Water,Flying,45,20,50,60,120,50,4,0,Electric,,20,40,15,35,35,60,2,0,0,Mantyke_vs_Pichu
Bug,Steel,71,120,95,120,95,99,5,0,Ground,Steel,110,135,60,50,65,88,5,0,1,Excadrill_vs_Genesect
Rock,Dark,100,134,110,95,100,61,2,0,Psychic,Ghost,80,110,60,150,130,70,6,1,0,Hoopa Confined_vs_Tyranitar
Grass,,45,49,65,49,65,45,2,0,Psychic,Flying,106,90,130,90,154,110,2,1,0,Chikorita_vs_Lugia
Dark,,65,150,60,115,60,115,3,0,Dark,,60,105,60,120,60,105,5,0,1,Mega Absol_vs_Zoroark
Grass,Poison,114,85,70,85,80,30,5,0,Electric,Ice,50,65,107,105,107,86,4,0,1,Amoonguss_vs_Frost Rotom
Dark,,70,90,90,135,90,125,4,1,Water,Flying,45,20,50,60,120,50,4,0,1,Darkrai_vs_Mantyke
Electric,Normal,62,55,52,109,94,109,6,0,Fighting,,50,95,95,35,110,70,2,0,1,Heliolisk_vs_Hitmontop
Dragon,Electric,100,150,120,120,100,90,5,1,Poison,,70,62,67,55,55,56,1,0,1,Nidorina_vs_Zekrom
Grass,,70,85,65,105,85,120,3,0,Fighting,,35,35,35,35,35,35,2,0,1,Sceptile_vs_Tyrogue
Water,,71,73,88,120,89,59,6,0,Grass,,70,60,70,87,78,85,4,0,0,Cherrim_vs_Clawitzer
Psychic,Fairy,68,85,65,165,135,100,3,0,Fire,Dragon,78,130,111,130,85,100,1,0,0,Mega Charizard X_vs_Mega Gardevoir
Grass,,75,80,95,90,100,50,2,0,Rock,,55,75,85,25,25,15,5,0,1,Bellossom_vs_Roggenrola
Normal,Flying,65,90,65,61,61,100,1,0,Steel,,60,100,115,70,85,90,5,0,1,Fearow_vs_Klinklang
Ground,Dark,60,82,45,45,45,74,5,0,Normal,Flying,52,65,55,58,62,60,1,0,1,Farfetchd_vs_Krokorok
Dragon,,66,117,70,40,50,67,5,0,Fire,,45,75,37,70,55,83,2,0,0,Fraxure_vs_Magby
Rock,Steel,60,55,145,75,150,40,4,0,Poison,Flying,75,80,70,65,75,90,1,0,0,Golbat_vs_Probopass
Psychic,Fairy,68,65,65,125,115,80,3,0,Electric,,75,123,67,95,85,95,4,0,0,Electivire_vs_Gardevoir
Bug,Flying,70,60,62,80,82,60,3,0,Fighting,,50,95,95,35,110,70,2,0,0,Hitmontop_vs_Masquerain
Ground,,50,50,95,40,50,35,1,0,Bug,Electric,70,77,60,97,60,108,5,0,0,Cubone_vs_Galvantula
Fairy,,70,45,48,60,65,35,1,0,Water,,130,70,35,70,35,60,3,0,0,Clefairy_vs_Wailmer
Normal,,120,120,120,120,120,120,4,1,Psychic,,65,65,60,130,95,110,2,0,1,Arceus_vs_Espeon
Grass,,45,45,55,45,55,63,5,0,Grass,,75,80,95,90,100,50,2,0,1,Bellossom_vs_Snivy
Fairy,,95,70,73,95,90,60,1,0,Rock,Water,72,105,115,54,86,68,6,0,0,Barbaracle_vs_Clefable
Bug,Rock,50,65,85,35,35,55,5,0,Fighting,,45,85,50,55,50,65,5,0,0,Dwebble_vs_Mienfoo
Fire,,105,140,55,30,55,95,5,0,Bug,Flying,61,90,45,50,50,160,3,0,1,Darmanitan Standard Mode_vs_Ninjask
Bug,Steel,75,90,140,60,60,40,2,0,Poison,Dark,103,93,67,71,61,84,4,0,0,Forretress_vs_Skuntank
Psychic,Flying,72,58,80,103,80,97,5,0,Bug,Electric,50,47,50,57,50,65,5,0,1,Joltik_vs_Sigilyph
Water,,100,100,100,100,100,100,4,0,Dark,,65,130,60,75,60,75,3,0,1,Absol_vs_Manaphy
Water,Flying,45,20,50,60,120,50,4,0,Grass,Psychic,60,40,80,60,45,40,1,0,1,Exeggcute_vs_Mantyke
Grass,,60,62,80,63,80,60,2,0,Fairy,,90,120,75,60,60,45,2,0,1,Bayleef_vs_Granbull
Water,Ground,95,85,85,65,65,35,2,0,Steel,Ghost,60,150,50,150,50,60,6,0,0,Aegislash Blade Forme_vs_Quagsire
Water,,43,80,65,50,35,35,3,0,Steel,Psychic,40,55,80,35,60,30,3,0,1,Beldum_vs_Corphish
Water,Fighting,90,95,95,70,90,70,1,0,Poison,Flying,40,45,35,30,40,55,1,0,1,Poliwrath_vs_Zubat
Water,Rock,100,90,130,45,65,55,3,0,Ice,,95,117,184,44,46,28,6,0,1,Avalugg_vs_Relicanth
Fighting,Psychic,60,60,75,60,75,80,3,0,Dark,Ghost,50,75,75,65,65,50,3,0,1,Medicham_vs_Sableye
Normal,,65,60,70,85,75,40,1,0,Fire,,78,84,78,109,85,100,2,0,0,Porygon_vs_Typhlosion
Grass,Poison,45,50,55,75,65,30,1,0,Psychic,,45,30,50,55,65,45,5,0,0,Gothita_vs_Oddish
Normal,Flying,55,75,50,40,40,80,4,0,Steel,,70,140,230,60,80,50,3,0,1,Mega Aggron_vs_Staravia
Electric,Fire,50,65,107,105,107,86,4,0,Grass,Dark,90,100,60,90,60,80,3,0,1,Heat Rotom_vs_Shiftry
Water,,35,64,85,74,55,32,3,0,Water,Psychic,95,75,80,100,110,30,2,0,1,Clamperl_vs_Slowking
Electric,Dragon,90,95,105,165,110,45,2,0,Rock,,80,100,200,50,100,50,3,1,0,Mega Ampharos_vs_Regirock
Fire,Psychic,105,30,105,140,105,55,5,0,Fighting,Steel,70,145,88,140,70,112,4,0,0,Darmanitan Zen Mode_vs_Mega Lucario
Normal,,160,110,65,65,110,30,1,0,Grass,Ice,90,92,75,92,85,60,4,0,0,Abomasnow_vs_Snorlax
Rock,Dragon,58,89,77,45,45,48,6,0,Ground,Dark,60,82,45,45,45,74,5,0,0,Krokorok_vs_Tyrunt
Rock,Ground,50,64,50,45,50,41,2,0,Grass,,74,100,72,90,72,46,4,0,0,Carnivine_vs_Larvitar
Grass,Dark,70,70,40,60,40,60,3,0,Bug,Fighting,80,185,115,40,105,75,2,0,0,Mega Heracross_vs_Nuzleaf
Grass,Ground,95,109,105,75,85,56,4,0,Rock,Fairy,50,50,150,50,150,50,6,0,1,Carbink_vs_Torterra
Fighting,Dark,95,124,78,69,71,58,6,0,Grass,,60,40,60,40,60,35,3,0,1,Pangoro_vs_Shroomish
Bug,,45,22,60,27,30,29,6,0,Fire,Water,80,110,120,130,90,70,6,1,0,Spewpa_vs_Volcanion
Dragon,Psychic,80,80,90,110,130,110,3,1,Fire,Dragon,78,130,111,130,85,100,1,0,1,Latias_vs_Mega Charizard X
Normal,,65,60,70,85,75,40,1,0,Bug,Fire,85,60,65,135,105,100,5,0,0,Porygon_vs_Volcarona
Grass,,70,60,70,87,78,85,4,0,Rock,Ground,55,95,115,45,45,35,1,0,1,Cherrim_vs_Graveler
Steel,Ghost,45,80,100,35,37,28,6,0,Fire,,58,64,58,80,65,80,1,0,0,Charmeleon_vs_Honedge
Fire,Fighting,80,160,80,130,80,100,3,0,Ice,Psychic,45,30,15,85,65,65,2,0,1,Mega Blaziken_vs_Smoochum
Water,Psychic,95,75,110,100,80,30,1,0,Water,Poison,40,40,35,50,100,70,1,0,1,Slowbro_vs_Tentacool
Ground,,35,80,50,50,70,120,1,0,Normal,Flying,60,30,30,36,56,50,2,0,1,Dugtrio_vs_Hoothoot
Fire,Steel,91,90,106,130,106,77,4,1,Psychic,,95,23,48,23,48,23,3,0,1,Heatran_vs_Wynaut
Fairy,,126,131,95,131,98,99,6,1,Normal,Flying,52,65,55,58,62,60,1,0,1,Farfetchd_vs_Xerneas
Grass,,30,30,30,30,30,30,2,0,Steel,Dragon,100,120,120,150,100,90,4,1,0,Dialga_vs_Sunkern
